Date,Open,High,Low,Close,Adj Close,Volume
2021-07-20,367.000000,376.600006,365.269989,374.390015,371.137177,3542200
2021-07-21,376.029999,380.899994,375.049988,380.059998,376.757935,2393100
2021-07-22,380.299988,382.859985,377.049988,382.160004,378.839691,4180300
2021-07-23,385.089996,394.500000,385.089996,393.260010,389.843262,3720300
2021-07-26,391.670013,392.890015,388.269989,392.799988,389.387238,2285800
2021-07-27,390.000000,395.279999,385.890015,390.269989,386.879211,2783800
2021-07-28,391.619995,391.730011,382.329987,383.440002,380.108582,3372600
2021-07-29,387.500000,394.739990,387.500000,388.809998,385.431915,3774000
2021-07-30,389.000000,389.000000,383.079987,385.940002,382.586853,2533300
2021-08-02,389.299988,389.980011,373.799988,375.260010,371.999634,3430300
2021-08-03,376.660004,376.670013,359.570007,367.600006,364.406158,6328500
2021-08-04,367.279999,369.260010,363.429993,368.010010,364.812683,3203200
2021-08-05,368.200012,371.959991,367.000000,371.940002,368.708496,2562400
2021-08-06,371.420013,375.500000,371.000000,374.529999,371.275970,2038500
2021-08-09,374.190002,374.500000,368.890015,370.679993,367.459442,2400800
2021-08-10,372.290009,372.750000,364.109985,367.839996,364.644104,3225000
2021-08-11,368.549988,369.959991,363.750000,364.239990,361.075348,3267700
2021-08-12,362.570007,363.220001,357.850006,361.980011,358.834961,3802900
2021-08-13,362.260010,363.500000,360.630005,362.750000,359.598328,2304600
2021-08-16,360.500000,363.809998,356.619995,363.559998,360.401276,2937300
2021-08-17,362.000000,364.459991,359.790009,363.230011,360.074219,2812800
2021-08-18,361.179993,365.679993,360.589996,360.950012,357.813995,2774500
2021-08-19,356.899994,360.140015,354.720001,357.309998,354.205597,2727900
2021-08-20,357.359985,358.320007,353.329987,354.989990,351.905731,4135900
2021-08-23,357.470001,362.239990,356.750000,361.010010,357.873474,3537900
2021-08-24,363.029999,366.100006,361.470001,361.779999,358.636719,3032000
2021-08-25,361.959991,362.399994,358.500000,359.100006,355.980042,2340400
2021-08-26,358.000000,358.200012,351.799988,352.859985,349.794250,3946300
2021-08-27,352.459991,356.500000,351.649994,355.730011,352.639343,3698300
